feature,source,category,nan_pct,pearson,spearman,abs_spearman,shape,notes
hour_cos,base,categorical/calendar,0.0,0.0977516952932771,0.1165864036759743,0.1165864036759743,monotonic_up,CALENDAR_ARTIFACT: not validated as alpha; suspicious until OOT block check
resid_vol_90d,v3_5m,volatility/distrib,59.12772942070021,-0.0259666663025767,-0.0678532824807657,0.0678532824807657,noisy,
xs_alpha_iqr_12b,base,cross-sectional,0.0,0.0558060812508129,0.0510431935818868,0.0510431935818868,monotonic_up,
xs_alpha_mean_48b,base,cross-sectional,0.0,0.046110458034782,0.0500902377885638,0.0500902377885638,monotonic_up,
btc_realized_vol_30d,base,volatility/distrib,25.0628430148122,0.0006662678651765,0.0467168354604475,0.0467168354604475,inverted_u,
resid_trend_score_30d,v3_5m,other,8.975666803316463,-0.0092048109107814,-0.0455968421296447,0.0455968421296447,u_shape,
ema_slope_20_1h,base,momentum,0.0,0.0589366581745115,0.0404072631956238,0.0404072631956238,monotonic_up,
btc_realized_vol_1d,base,volatility/distrib,0.0,0.0275867588897636,0.0399792343600057,0.0399792343600057,u_shape,
multi_horizon_trend_score,v3_5m,other,8.975666803316463,-0.0045769684535727,-0.0390126956164527,0.0390126956164527,noisy,
resid_jump_count_30d,v3_5m,volatility/distrib,0.0,0.0519290765168826,0.038221411841096,0.038221411841096,monotonic_up,
resid_vol_30d,v3_5m,volatility/distrib,25.630734127173284,0.0087396493517724,-0.0372215175547786,0.0372215175547786,u_shape,
xs_alpha_dispersion_12b,base,cross-sectional,0.0,0.0207703999453337,0.0354370012014036,0.0354370012014036,monotonic_up,
return_1d_xs_rank,base,momentum,0.0,-0.0094717772026164,-0.0319585489047307,0.0319585489047307,noisy,
atr_pct_xs_rank,base,volatility/distrib,0.0,0.0103750771335462,-0.0295874728190764,0.0295874728190764,monotonic_up,
aggr_ratio_4h,base,microstructure,49.70016493312105,-0.0267896310518627,-0.0270152482932104,0.0270152482932104,monotonic_down,
dist_from_365d_high,v3_5m,anchoring,25.623742742465996,0.0294791394249473,0.0263326562844793,0.0263326562844793,u_shape,
beta_btc_30d,v3_5m,btc-relationship,0.0,0.0051841059724551,-0.0258699772746613,0.0258699772746613,noisy,
xs_alpha_dispersion_48b,base,cross-sectional,0.0,0.0143881065926719,0.0255932100323016,0.0255932100323016,noisy,
volume_ma_50,base,volume/liquidity,0.0,0.0140201438849988,-0.0245193382847875,0.0245193382847875,u_shape,
volume_ma_50_xs_rank,base,volume/liquidity,0.0,-0.0017698271776502,-0.0241477789314924,0.0241477789314924,u_shape,
beta_btc_90d,v3_5m,btc-relationship,8.931493963574887,0.0096791521547158,-0.023848298100172,0.023848298100172,u_shape,
dist_from_30d_high,v3_5m,anchoring,0.0,0.0261081574781035,0.0235871552972117,0.0235871552972117,u_shape,
idio_vol_ratio_to_btc,btc_only,volatility/distrib,0.0,0.0133990317626873,-0.0235682916015663,0.0235682916015663,u_shape,
idio_ret_to_btc_48b,base,btc-relationship,0.0,0.0309764663123012,0.0225386058213246,0.0225386058213246,monotonic_up,
dom_z_7d_vs_bk,base,basket-relative,0.0,0.0131660665730033,-0.0224929131149329,0.0224929131149329,u_shape,
vwap_zscore,base,other,0.0,0.0384659399055561,0.0220177047747024,0.0220177047747024,monotonic_up,
